Date,Open,High,Low,Close,Adj Close,Volume
2021-02-15,2.770000,3.210000,2.770000,3.200000,3.200000,16783208
2021-02-22,3.180000,3.600000,3.170000,3.600000,3.600000,30445765
2021-03-01,3.780000,4.200000,3.430000,3.570000,3.570000,96490292
2021-03-08,3.550000,3.620000,3.300000,3.350000,3.350000,35410383
2021-03-15,3.360000,3.880000,3.270000,3.720000,3.720000,65876409
2021-03-22,3.720000,4.990000,3.540000,4.520000,4.520000,216556638
2021-03-29,4.260000,4.880000,3.990000,4.420000,4.420000,194402307
2021-04-05,4.420000,4.990000,4.230000,4.430000,4.430000,152827023
2021-04-12,4.420000,4.670000,4.080000,4.300000,4.300000,89201734
2021-04-19,4.330000,4.580000,4.170000,4.290000,4.290000,74839743
2021-04-26,4.330000,4.340000,3.800000,3.940000,3.940000,42821949
2021-05-03,3.940000,4.760000,3.900000,4.760000,4.760000,32532999
2021-05-10,5.240000,6.160000,5.240000,5.770000,5.770000,295490169
2021-05-17,5.560000,5.700000,4.640000,4.860000,4.860000,210426938
2021-05-24,4.870000,6.480000,4.820000,5.730000,5.730000,241900940
2021-05-31,5.840000,6.310000,5.420000,6.110000,6.110000,203898496
2021-06-07,6.430000,6.520000,5.290000,5.480000,5.480000,180595002
2021-06-14,5.480000,6.070000,4.900000,5.510000,5.510000,106176624
2021-06-21,5.430000,5.680000,5.100000,5.270000,5.270000,99344055
2021-06-28,5.240000,5.750000,5.170000,5.290000,5.290000,103401627
2021-07-05,5.250000,5.590000,5.160000,5.280000,5.280000,77605908
2021-07-12,5.410000,5.810000,4.880000,4.940000,4.940000,130847278
2021-07-19,4.890000,4.990000,4.520000,4.610000,4.610000,51221966
2021-07-26,4.610000,4.620000,4.020000,4.380000,4.380000,42934498
2021-08-02,4.370000,4.660000,4.320000,4.390000,4.390000,38279576
2021-08-09,4.380000,4.790000,4.380000,4.620000,4.620000,43326191
2021-08-16,4.580000,5.100000,4.450000,4.830000,4.830000,69370524
2021-08-23,4.750000,4.820000,4.370000,4.400000,4.400000,66602066
2021-08-30,4.400000,4.500000,4.200000,4.330000,4.330000,36527647
2021-09-06,4.330000,4.520000,4.270000,4.470000,4.470000,34368272
2021-09-13,4.470000,4.470000,4.060000,4.120000,4.120000,30329958
2021-09-20,4.120000,4.250000,4.050000,4.080000,4.080000,13870832
2021-09-27,4.090000,4.150000,3.840000,3.960000,3.960000,17373016
2021-10-04,3.960000,4.170000,3.950000,4.150000,4.150000,6594254
2021-10-11,4.150000,4.220000,3.880000,3.880000,3.880000,17176381
2021-10-18,3.920000,4.230000,3.770000,3.930000,3.930000,41081247
2021-10-25,3.900000,3.980000,3.560000,3.650000,3.650000,26768540
2021-11-01,3.650000,3.850000,3.560000,3.720000,3.720000,17480662
2021-11-08,3.720000,3.880000,3.650000,3.850000,3.850000,18879534
2021-11-15,3.850000,3.960000,3.820000,3.880000,3.880000,18734125
2021-11-22,3.850000,4.310000,3.790000,4.310000,4.310000,51899587
2021-11-29,4.270000,4.310000,4.010000,4.060000,4.060000,93453254
2021-12-06,4.020000,4.060000,3.910000,3.940000,3.940000,26922552
2021-12-13,3.940000,4.430000,3.900000,4.190000,4.190000,62678812
2021-12-20,4.130000,6.060000,4.080000,6.060000,6.060000,206987211
2021-12-27,6.500000,6.670000,4.580000,4.730000,4.730000,326235119
2022-01-03,4.730000,5.720000,4.680000,5.010000,5.010000,223831403
2022-01-10,5.120000,6.900000,5.080000,6.050000,6.050000,307996698
2022-01-17,6.320000,9.210000,5.860000,9.210000,9.210000,453528550
2022-01-24,9.210000,10.130000,5.860000,5.860000,5.860000,285983184
2022-01-31,5.860000,5.860000,5.860000,5.860000,5.860000,0
2022-02-07,5.570000,7.690000,5.280000,7.320000,7.320000,526557403
2022-02-11,6.810000,7.690000,6.550000,7.320000,7.320000,119151731
